Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,20424.0,20470.0,20122.0,20136.0,20136.0,516690100.0
2019-05-24,20261.0,20464.0,20245.0,20376.0,20376.0,425582400.0
2019-05-27,20417.0,20683.0,20299.0,20363.0,20363.0,308042900.0
2019-05-28,20349.0,20359.0,20093.0,20261.0,20261.0,708887600.0
2019-05-29,20087.0,20104.0,19928.0,20000.0,20000.0,388969800.0
2019-05-30,20073.0,20173.0,19879.0,19948.0,19948.0,311765100.0
2019-05-31,19730.0,19829.0,19536.0,19802.0,19802.0,462779900.0
2019-06-03,19680.0,19881.0,19594.0,19874.0,19874.0,343590400.0
2019-06-04,19778.0,20245.0,19753.0,20229.0,20229.0,456040800.0
2019-06-05,20229.0,20264.0,20035.0,20156.0,20156.0,438219600.0
2019-06-06,20147.0,20396.0,20079.0,20178.0,20178.0,437586300.0
2019-06-07,20248.0,20454.0,20237.0,20361.0,20361.0,343927900.0
2019-06-10,20465.0,20496.0,20345.0,20485.0,20485.0,252709300.0
2019-06-11,20495.0,20705.0,20482.0,20610.0,20610.0,372924300.0
2019-06-12,20494.0,20545.0,20429.0,20463.0,20463.0,325198000.0
2019-06-13,20447.0,20659.0,20391.0,20631.0,20631.0,294536300.0
2019-06-14,20586.0,20647.0,20534.0,20612.0,20612.0,273495300.0
2019-06-17,20660.0,20722.0,20602.0,20626.0,20626.0,260285300.0
2019-06-18,20632.0,21157.0,20510.0,21134.0,21134.0,519026800.0
2019-06-19,21140.0,21244.0,21070.0,21221.0,21221.0,521632300.0
2019-06-20,21355.0,21498.0,21346.0,21361.0,21361.0,571270800.0
2019-06-21,21377.0,21511.0,21336.0,21389.0,21389.0,785052200.0
2019-06-24,21315.0,21472.0,21262.0,21284.0,21284.0,324441800.0
2019-06-25,21225.0,21283.0,21112.0,21128.0,21128.0,303147100.0
2019-06-26,21082.0,21240.0,21020.0,21057.0,21057.0,356270000.0
2019-06-27,21140.0,21202.0,20997.0,21111.0,21111.0,322638700.0
2019-06-28,21132.0,21252.0,21079.0,21235.0,21235.0,338951200.0
2019-07-01,21464.0,21482.0,21254.0,21254.0,21254.0,344110500.0
2019-07-02,21320.0,21435.0,21245.0,21393.0,21393.0,327322300.0
2019-07-03,21415.0,21912.0,21404.0,21905.0,21905.0,567009000.0
2019-07-04,21957.0,22175.0,21930.0,22121.0,22121.0,473828700.0
2019-07-05,22130.0,22142.0,21926.0,21986.0,21986.0,372561300.0
2019-07-08,21942.0,22051.0,21912.0,21976.0,21976.0,320240600.0
2019-07-09,21930.0,22003.0,21820.0,21886.0,21886.0,347663600.0
2019-07-10,21894.0,22186.0,21879.0,22045.0,22045.0,355846800.0
2019-07-11,22150.0,22270.0,22126.0,22169.0,22169.0,328046100.0
2019-07-12,22182.0,22263.0,22175.0,22183.0,22183.0,314774600.0
2019-07-15,22239.0,22330.0,22127.0,22178.0,22178.0,285274600.0
2019-07-16,22158.0,22273.0,22079.0,22204.0,22204.0,313883700.0
2019-07-17,22160.0,22237.0,22036.0,22079.0,22079.0,334285900.0
2019-07-18,21950.0,22196.0,21925.0,22091.0,22091.0,317501100.0
2019-07-19,22195.0,22198.0,21628.0,21641.0,21641.0,493802000.0
2019-07-22,21616.0,21747.0,21588.0,21736.0,21736.0,289944800.0
2019-07-23,21824.0,22008.0,21796.0,21955.0,21955.0,322261700.0
2019-07-24,21996.0,22087.0,21934.0,22080.0,22080.0,302986700.0
2019-07-25,22158.0,22357.0,21779.0,21903.0,21903.0,464940800.0
2019-07-26,21909.0,21911.0,21764.0,21838.0,21838.0,394095500.0
2019-07-29,21784.0,21865.0,21709.0,21709.0,21709.0,299188000.0
2019-07-30,21695.0,21695.0,21235.0,21278.0,21278.0,469200300.0
2019-07-31,21300.0,21422.0,21265.0,21398.0,21398.0,369458500.0
2019-08-01,21307.0,21606.0,21303.0,21567.0,21567.0,361628700.0
2019-08-02,21155.0,21303.0,21039.0,21047.0,21047.0,463156900.0
2019-08-05,20880.0,20964.0,20688.0,20773.0,20773.0,414502000.0
2019-08-06,20814.0,20915.0,20632.0,20632.0,20632.0,312209800.0
2019-08-07,20669.0,20810.0,20407.0,20539.0,20539.0,458261200.0
2019-08-08,20737.0,20841.0,20598.0,20841.0,20841.0,345985900.0
2019-08-09,20505.0,20584.0,20296.0,20324.0,20324.0,621898600.0
2019-08-12,20446.0,20560.0,20243.0,20264.0,20264.0,328344800.0
2019-08-13,20191.0,20597.0,20067.0,20539.0,20539.0,506203600.0
2019-08-14,20525.0,20525.0,19936.0,20020.0,20020.0,450629900.0
2019-08-16,20083.0,20348.0,20010.0,20323.0,20323.0,539327500.0
2019-08-19,20506.0,20730.0,20472.0,20715.0,20715.0,354908200.0
2019-08-20,20673.0,20718.0,20452.0,20485.0,20485.0,323170700.0
2019-08-21,20563.0,20911.0,20562.0,20847.0,20847.0,308790900.0
2019-08-22,20793.0,21044.0,20768.0,20817.0,20817.0,342319300.0
2019-08-23,20963.0,20965.0,20474.0,20474.0,20474.0,399795800.0
2019-08-26,20482.0,20721.0,20367.0,20677.0,20677.0,304979300.0
2019-08-27,20733.0,21061.0,20664.0,20991.0,20991.0,396647200.0
2019-08-28,20983.0,21013.0,20831.0,20991.0,20991.0,360705000.0
2019-08-29,21020.0,21441.0,20973.0,21398.0,21398.0,523182500.0
2019-08-30,21400.0,21559.0,21255.0,21323.0,21323.0,402872700.0
2019-09-02,21390.0,21567.0,21389.0,21452.0,21452.0,227807500.0
2019-09-03,21438.0,21497.0,21311.0,21399.0,21399.0,283939100.0
2019-09-04,21665.0,21777.0,21630.0,21738.0,21738.0,408310000.0
2019-09-05,21853.0,21955.0,21796.0,21955.0,21955.0,444458900.0
2019-09-06,21967.0,22010.0,21857.0,21947.0,21947.0,396569400.0
2019-09-09,22008.0,22041.0,21935.0,21990.0,21990.0,358176500.0
2019-09-10,21964.0,21989.0,21824.0,21869.0,21869.0,465833900.0
2019-09-11,21994.0,22033.0,21796.0,21892.0,21892.0,520578100.0
2019-09-12,21983.0,22141.0,21835.0,22083.0,22083.0,576922200.0
2019-09-13,22127.0,22230.0,22076.0,22181.0,22181.0,489149200.0
2019-09-16,22125.0,22139.0,21898.0,21969.0,21969.0,433352100.0
2019-09-17,21964.0,21989.0,21783.0,21802.0,21802.0,402607500.0
2019-09-18,21787.0,22009.0,21774.0,21948.0,21948.0,323308900.0
2019-09-19,21965.0,22160.0,21930.0,22128.0,22128.0,409468500.0
2019-09-20,22191.0,22283.0,22112.0,22123.0,22123.0,639677700.0
2019-09-23,22088.0,22111.0,21831.0,21900.0,21900.0,369579300.0
2019-09-24,21955.0,21994.0,21885.0,21901.0,21901.0,329448400.0
2019-09-25,21796.0,21806.0,21492.0,21788.0,21788.0,383403300.0
2019-09-26,21791.0,22006.0,21778.0,21948.0,21948.0,322274800.0
2019-09-27,,,,,,
2019-09-30,22008.0,22131.0,21935.0,22108.0,22108.0,331571400.0
2019-10-01,22185.0,22294.0,21928.0,21928.0,21928.0,430463500.0
2019-10-02,21872.0,21893.0,21298.0,21298.0,21298.0,552414200.0
2019-10-03,21302.0,21457.0,21127.0,21312.0,21312.0,391603300.0
2019-10-04,21374.0,21473.0,21258.0,21470.0,21470.0,411527400.0
2019-10-07,21442.0,21652.0,21379.0,21652.0,21652.0,258014500.0
2019-10-08,21681.0,21685.0,21337.0,21406.0,21406.0,320247200.0
2019-10-09,21414.0,21649.0,21366.0,21534.0,21534.0,328849800.0
2019-10-10,21555.0,21764.0,21420.0,21756.0,21756.0,414631200.0
2019-10-11,21838.0,22165.0,21776.0,22165.0,22165.0,518465900.0
2019-10-14,22108.0,22156.0,21992.0,22098.0,22098.0,294669400.0
2019-10-15,22244.0,22399.0,22168.0,22365.0,22365.0,413132500.0
2019-10-16,22388.0,22514.0,22286.0,22428.0,22428.0,495250600.0
2019-10-17,22380.0,22663.0,22373.0,22376.0,22376.0,438017500.0
2019-10-18,22406.0,22450.0,22291.0,22322.0,22322.0,397160800.0
2019-10-21,22347.0,22501.0,22344.0,22478.0,22478.0,371778600.0
2019-10-22,22504.0,22525.0,22361.0,22487.0,22487.0,343207300.0
2019-10-23,22377.0,22441.0,22284.0,22351.0,22351.0,376068700.0
2019-10-24,22446.0,22548.0,22397.0,22527.0,22527.0,406303700.0
2019-10-25,22554.0,22609.0,22466.0,22609.0,22609.0,246328600.0
2019-10-28,22597.0,22749.0,22529.0,22696.0,22696.0,272005000.0
2019-10-29,22703.0,22748.0,22615.0,22681.0,22681.0,327253200.0
2019-10-30,22700.0,22782.0,22454.0,22646.0,22646.0,440251100.0
2019-10-31,22659.0,22783.0,22584.0,22694.0,22694.0,435498500.0
2019-11-01,22735.0,22946.0,22721.0,22934.0,22934.0,289466200.0
2019-11-04,23041.0,23349.0,23027.0,23311.0,23311.0,437875800.0
2019-11-05,23346.0,23436.0,23295.0,23365.0,23365.0,486391800.0
2019-11-06,23375.0,23415.0,23309.0,23373.0,23373.0,438771400.0
2019-11-07,23487.0,23585.0,23445.0,23503.0,23503.0,499285200.0
2019-11-08,23478.0,23562.0,23354.0,23534.0,23534.0,596251800.0
2019-11-11,23454.0,23516.0,23396.0,23490.0,23490.0,369318400.0
2019-11-12,23555.0,23828.0,23548.0,23782.0,23782.0,436422200.0
2019-11-13,23696.0,23727.0,23436.0,23578.0,23578.0,399806100.0
2019-11-14,23576.0,23641.0,23480.0,23481.0,23481.0,378029000.0
2019-11-15,23600.0,23632.0,23463.0,23589.0,23589.0,337912500.0
2019-11-18,23572.0,23615.0,23350.0,23464.0,23464.0,374167800.0
2019-11-19,23520.0,23660.0,23303.0,23329.0,23329.0,374663800.0
2019-11-20,23221.0,23384.0,23150.0,23352.0,23352.0,419633500.0
2019-11-21,23195.0,23372.0,23105.0,23280.0,23280.0,477095700.0
2019-11-22,23325.0,23462.0,23255.0,23260.0,23260.0,372915500.0
2019-11-25,23398.0,23497.0,23384.0,23455.0,23455.0,297104600.0
2019-11-26,23476.0,23570.0,23359.0,23547.0,23547.0,473714000.0
2019-11-27,23624.0,23651.0,23452.0,23485.0,23485.0,332169700.0
2019-11-28,23401.0,23481.0,23270.0,23342.0,23342.0,237624600.0
2019-11-29,23268.0,23425.0,23207.0,23259.0,23259.0,265983000.0
2019-12-02,23298.0,23403.0,22698.0,22729.0,22729.0,452945300.0
2019-12-03,22845.0,22987.0,22581.0,22737.0,22737.0,367761300.0
2019-12-04,22737.0,23036.0,22733.0,23034.0,23034.0,324496600.0
2019-12-05,23049.0,23191.0,22946.0,22969.0,22969.0,298652300.0
2019-12-06,23055.0,23220.0,22940.0,23183.0,23183.0,294138000.0
2019-12-09,23215.0,23233.0,22856.0,22957.0,22957.0,302722800.0
2019-12-10,22936.0,23141.0,22790.0,23123.0,23123.0,298165100.0
2019-12-11,23101.0,23203.0,23038.0,23156.0,23156.0,283415000.0
2019-12-12,23229.0,23488.0,23161.0,23391.0,23391.0,413347000.0
2019-12-13,23714.0,23728.0,23272.0,23329.0,23329.0,478941300.0
2019-12-16,23436.0,23550.0,23388.0,23525.0,23525.0,276509700.0
2019-12-17,23536.0,23717.0,23482.0,23631.0,23631.0,343983200.0
2019-12-18,23646.0,23738.0,23627.0,23629.0,23629.0,311229600.0
2019-12-19,23647.0,23710.0,23583.0,23709.0,23709.0,374666200.0
2019-12-20,23842.0,24004.0,23837.0,24004.0,24004.0,793556100.0
2019-12-23,23919.0,23941.0,23845.0,23898.0,23898.0,229767000.0
2019-12-27,23868.0,23899.0,23732.0,23758.0,23758.0,274188700.0
2019-12-30,23712.0,23736.0,23506.0,23506.0,23506.0,212207400.0
2020-01-02,23607.0,23862.0,23572.0,23836.0,23836.0,264537200.0
2020-01-03,23710.0,23760.0,23517.0,23702.0,23702.0,325924900.0
2020-01-06,23566.0,23608.0,23265.0,23581.0,23581.0,349155800.0
2020-01-07,23688.0,23794.0,23636.0,23723.0,23723.0,306340300.0
2020-01-08,23551.0,23893.0,23481.0,23832.0,23832.0,472506700.0
2020-01-09,23980.0,24078.0,23964.0,24017.0,24017.0,430637300.0
2020-01-10,24061.0,24147.0,23966.0,24021.0,24021.0,326014300.0
2020-01-13,24061.0,24061.0,23829.0,23897.0,23897.0,340838600.0
2020-01-14,23932.0,23948.0,23706.0,23928.0,23928.0,350706400.0
2020-01-15,23903.0,23932.0,23719.0,23764.0,23764.0,341178900.0
2020-01-16,23862.0,23961.0,23760.0,23940.0,23940.0,361875400.0
2020-01-17,24043.0,24169.0,24011.0,24141.0,24141.0,319934800.0
2020-01-20,24033.0,24085.0,23973.0,24002.0,24002.0,218203400.0
2020-01-21,23858.0,23860.0,23645.0,23845.0,23845.0,332896600.0
2020-01-22,23888.0,23907.0,23680.0,23706.0,23706.0,424389000.0
2020-01-23,23716.0,23901.0,23611.0,23707.0,23707.0,379431100.0
2020-01-24,23848.0,24083.0,23848.0,23969.0,23969.0,368587000.0
2020-01-27,23713.0,23978.0,23384.0,23416.0,23416.0,506925600.0
2020-01-28,23545.0,24028.0,23429.0,24028.0,24028.0,428294600.0
2020-01-29,24053.0,24198.0,23969.0,24165.0,24165.0,356515300.0
2020-01-30,23892.0,23983.0,23688.0,23781.0,23781.0,454729400.0
2020-01-31,23863.0,23873.0,23208.0,23237.0,23237.0,557656600.0
2020-02-03,23297.0,23466.0,23219.0,23460.0,23460.0,363184200.0
2020-02-04,23573.0,23901.0,23542.0,23845.0,23845.0,479889400.0
2020-02-05,23816.0,24270.0,23746.0,24237.0,24237.0,564241000.0
2020-02-06,24348.0,24514.0,24338.0,24490.0,24490.0,531888100.0
2020-02-07,24465.0,24523.0,24372.0,24478.0,24478.0,411437000.0
2020-02-10,24437.0,24585.0,24389.0,24508.0,24508.0,297204400.0
2020-02-11,24617.0,24763.0,24534.0,24689.0,24689.0,405685400.0
2020-02-12,24738.0,24902.0,24735.0,24861.0,24861.0,462480100.0
2020-02-13,24769.0,24892.0,24588.0,24892.0,24892.0,526068000.0
2020-02-14,24942.0,24983.0,24832.0,24867.0,24867.0,341383900.0
2020-02-17,24962.0,25121.0,24903.0,25121.0,25121.0,0.0
2020-02-18,24986.0,25389.0,24970.0,25224.0,25224.0,737036300.0
2020-02-19,25353.0,25483.0,25272.0,25478.0,25478.0,464703000.0
2020-02-20,25415.0,25420.0,25080.0,25080.0,25080.0,445153900.0
2020-02-21,24979.0,25130.0,24670.0,24773.0,24773.0,638705500.0
2020-02-24,23919.0,24005.0,23255.0,23427.0,23427.0,977128300.0
2020-02-25,23586.0,23630.0,23046.0,23090.0,23090.0,664950800.0
2020-02-26,22961.0,23600.0,22638.0,23423.0,23423.0,737757000.0
2020-02-27,22969.0,23078.0,22480.0,22799.0,22799.0,781145900.0
2020-02-28,22059.0,22335.0,21698.0,21984.0,21984.0,1052025600.0
2020-03-02,22333.0,22361.0,21119.0,21655.0,21655.0,924414500.0
2020-03-03,22116.0,22340.0,21651.0,21748.0,21748.0,799970700.0
2020-03-04,21740.0,22204.0,21500.0,21946.0,21946.0,724365300.0
2020-03-05,22012.0,22035.0,21362.0,21555.0,21555.0,772854700.0
2020-03-06,20987.0,21151.0,20624.0,20800.0,20800.0,864917500.0
2020-03-09,20781.0,20781.0,18346.0,18476.0,18476.0,1272046600.0
2020-03-10,18654.0,19175.0,17772.0,17870.0,17870.0,1096966400.0
2020-03-11,18172.0,18410.0,17675.0,17929.0,17929.0,916163300.0
2020-03-12,17654.0,17660.0,14894.0,14894.0,14894.0,1535614400.0
2020-03-13,15108.0,17545.0,15107.0,15954.0,15954.0,1267823900.0
2020-03-16,15697.0,15699.0,14153.0,14980.0,14980.0,1218842000.0
2020-03-17,15420.0,15810.0,14696.0,15315.0,15315.0,1041111800.0
2020-03-18,14986.0,15438.0,14792.0,15120.0,15120.0,796190300.0
2020-03-19,15417.0,15844.0,15038.0,15467.0,15467.0,1016984600.0
2020-03-20,15773.0,16180.0,15617.0,15732.0,15732.0,1222210600.0
2020-03-23,15318.0,15789.0,15092.0,15560.0,15560.0,768024600.0
2020-03-24,15978.0,16949.0,15970.0,16949.0,16949.0,847366000.0
2020-03-25,17247.0,17830.0,16582.0,17244.0,17244.0,906278800.0
2020-03-26,16877.0,17369.0,16835.0,17369.0,17369.0,712229600.0
2020-03-27,17039.0,17283.0,16667.0,16823.0,16823.0,590902100.0
2020-03-30,16856.0,16925.0,16313.0,16872.0,16872.0,551307000.0
2020-03-31,17097.0,17292.0,16695.0,17051.0,17051.0,698055400.0
2020-04-01,16600.0,16845.0,16500.0,16545.0,16545.0,515027400.0
2020-04-02,16660.0,16878.0,16414.0,16834.0,16834.0,580523400.0
2020-04-03,16742.0,16791.0,16384.0,16384.0,16384.0,547565400.0
2020-04-06,16769.0,17054.0,16765.0,17039.0,17039.0,528126600.0
2020-04-07,17588.0,17887.0,17178.0,17412.0,17412.0,679854300.0
2020-04-08,17212.0,17406.0,17196.0,17381.0,17381.0,476312900.0
2020-04-09,17686.0,17756.0,17360.0,17622.0,17622.0,553979400.0
2020-04-14,17822.0,17831.0,17507.0,17558.0,17558.0,443873000.0
2020-04-15,17455.0,17543.0,16719.0,16719.0,16719.0,536650700.0
2020-04-16,17003.0,17161.0,16730.0,16768.0,16768.0,453153600.0
2020-04-17,17153.0,17308.0,16964.0,17055.0,17055.0,469218300.0
2020-04-20,17144.0,17155.0,16786.0,17064.0,17064.0,339570700.0
2020-04-21,16812.0,16935.0,16451.0,16451.0,16451.0,401986500.0
2020-04-22,16615.0,16770.0,16555.0,16765.0,16765.0,347495900.0
2020-04-23,16925.0,17145.0,16778.0,17011.0,17011.0,392978300.0
2020-04-24,16640.0,17155.0,16640.0,16859.0,16859.0,349284500.0
2020-04-27,17313.0,17380.0,17164.0,17380.0,17380.0,307768100.0
2020-04-28,17428.0,17941.0,17413.0,17677.0,17677.0,496793100.0
2020-04-29,17616.0,18076.0,17609.0,18067.0,18067.0,477978500.0
2020-04-30,18209.0,18303.0,17655.0,17690.0,17690.0,597318500.0
2020-05-04,17157.0,17345.0,17036.0,17036.0,17036.0,430626400.0
2020-05-05,17289.0,17390.0,17082.0,17387.0,17387.0,413815000.0
2020-05-06,17368.0,17500.0,17146.0,17159.0,17159.0,330052900.0
2020-05-07,17256.0,17363.0,17094.0,17245.0,17245.0,360975400.0
2020-05-08,17416.0,17462.0,17254.0,17439.0,17439.0,242317800.0
2020-05-11,17602.0,17678.0,17307.0,17381.0,17381.0,279808500.0
2020-05-12,17394.0,17602.0,17394.0,17559.0,17559.0,323340100.0
2020-05-13,17354.0,17427.0,17183.0,17183.0,17183.0,370538600.0
2020-05-14,17066.0,17177.0,16551.0,16868.0,16868.0,435987200.0
2020-05-15,17055.0,17124.0,16792.0,16852.0,16852.0,350474400.0
2020-05-18,16998.0,17446.0,16953.0,17401.0,17401.0,409926900.0
2020-05-19,17579.0,17613.0,16929.0,17035.0,17035.0,837116200.0
2020-05-20,16990.0,17248.0,16674.0,17213.0,17213.0,802296700.0
2020-05-21,16987.0,17284.0,16950.0,17087.0,17087.0,468260800.0
2020-05-22,16905.0,17386.0,16820.0,17316.0,17316.0,488722400.0
2020-05-25,17451.0,17596.0,17304.0,17596.0,17596.0,275240000.0
2020-05-26,17796.0,17894.0,17697.0,17860.0,17860.0,565674900.0
2020-05-27,17861.0,18228.0,17737.0,17910.0,17910.0,796359100.0
2020-05-28,18081.0,18414.0,18046.0,18351.0,18351.0,616898400.0
2020-05-29,18193.0,18391.0,18149.0,18198.0,18198.0,731191700.0
2020-06-01,18437.0,18531.0,18237.0,18524.0,18524.0,459197200.0
2020-06-02,18676.0,19053.0,18569.0,18971.0,18971.0,612512800.0
2020-06-03,19204.0,19642.0,19171.0,19642.0,19642.0,828030700.0
